COORDINATES: Geocentric
DATUM: WGE
# ELLIPSOID: WE
END OF HEADER

6378137.000, 0.000, 0.000
6379137.000, 0.000, 0.000
6377137.000, 0.000, 0.000
6281238.767, 1107551.867, 0.000
6282223.575, 1107725.515, 0.000
6280253.960, 1107378.219, 0.000
5993488.273, 2181451.331, 0.000
5994427.966, 2181793.351, 0.000
5992548.581, 2181109.311, 0.000
5523628.671, 3189068.500, 0.000
5524494.696, 3189568.500, 0.000
5522762.645, 3188568.500, 0.000
4885936.406, 4099787.436, 0.000
4886702.451, 4100430.224, 0.000
4885170.362, 4099144.649, 0.000
4099787.436, 4885936.406, 0.000
4100430.224, 4886702.451, 0.000
4099144.649, 4885170.362, 0.000
3189068.500, 5523628.671, 0.000
3189568.500, 5524494.696, 0.000
3188568.500, 5522762.645, 0.000
2181451.331, 5993488.273, 0.000
2181793.351, 5994427.966, 0.000
2181109.311, 5992548.581, 0.000
1107551.867, 6281238.767, 0.000
1107725.515, 6282223.575, 0.000
1107378.219, 6280253.960, 0.000
0.000, 6378137.000, 0.000
0.000, 6379137.000, 0.000
0.000, 6377137.000, 0.000
-1107551.867, 6281238.767, 0.000
-1107725.515, 6282223.575, 0.000
-1107378.219, 6280253.960, 0.000
-2181451.331, 5993488.273, 0.000
-2181793.351, 5994427.966, 0.000
-2181109.311, 5992548.581, 0.000
-3189068.500, 5523628.671, 0.000
-3189568.500, 5524494.696, 0.000
-3188568.500, 5522762.645, 0.000
-4099787.436, 4885936.406, 0.000
-4100430.224, 4886702.451, 0.000
-4099144.649, 4885170.362, 0.000
-4885936.406, 4099787.436, 0.000
-4886702.451, 4100430.224, 0.000
-4885170.362, 4099144.649, 0.000
-5523628.671, 3189068.500, 0.000
-5524494.696, 3189568.500, 0.000
-5522762.645, 3188568.500, 0.000
-5993488.273, 2181451.331, 0.000
-5994427.966, 2181793.351, 0.000
-5992548.581, 2181109.311, 0.000
-6281238.767, 1107551.867, 0.000
-6282223.575, 1107725.515, 0.000
-6280253.960, 1107378.219, 0.000
-6378137.000, 0.000, 0.000
-6379137.000, 0.000, 0.000
-6377137.000, 0.000, 0.000
-6378137.000, -0.000, 0.000
-6379137.000, -0.000, 0.000
-6377137.000, -0.000, 0.000
-6281238.767, -1107551.867, 0.000
